# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.10	5.00	3.75	3.50	4.00	2.25	2.25	0.50	2.25	3.75	5.00	6.00	5.25	4.75	5.50	0.00	2.25	-0.239746	0.095215	0.950684	-1.400000	5.040000	-1.190000	531.00	0.028911	-0.077038	9.25	9.50	4.50	6.75	2.00	5.25	0.25	1.75	1.25	1.75	2.75	1.50	1.25	1.50	0.25	2.00	-0.205566	0.068848	0.961426	-1.470000	-3.290000	0.490000	488.00	-0.169880	-0.091435		
1.20	4.00	2.50	2.75	4.25	2.50	2.00	0.75	2.25	4.00	5.50	6.25	5.50	5.00	6.00	0.25	1.50	-0.239746	0.085449	0.958496	-1.820000	5.250000	-1.400000	526.00	0.056516	-0.073838	8.75	9.00	4.00	6.00	2.25	4.75	0.25	1.75	1.50	2.00	2.75	2.25	1.00	2.00	0.75	1.50	-0.200684	0.071777	0.966797	-0.910000	-2.660000	0.490000	481.00	-0.145758	-0.084967		
1.30	3.75	2.00	3.50	2.75	2.00	1.50	0.75	2.00	4.25	5.25	6.25	6.00	5.00	6.25	0.25	2.25	-0.236816	0.088379	0.956055	-1.470000	5.530000	-1.470000	510.00	0.077498	-0.065735	9.00	9.00	3.50	6.75	2.75	5.00	0.25	2.25	1.50	1.75	3.25	2.25	1.75	2.00	1.00	1.75	-0.205566	0.074707	0.962402	-1.120000	-1.890000	0.420000	512.00	-0.136648	-0.097436		
1.40	1.75	2.25	2.75	2.75	2.00	1.75	0.75	1.75	3.75	5.25	6.00	5.25	5.00	6.75	0.25	2.00	-0.248047	0.089355	0.959473	-1.400000	5.460000	-1.400000	472.00	0.096622	-0.072261	9.00	9.00	4.25	6.50	2.75	5.25	0.25	2.25	1.50	1.75	3.50	2.00	1.50	1.75	0.50	2.00	-0.213867	0.075195	0.964355	-1.890000	-3.220000	0.420000	512.00	-0.145049	-0.094326		
1.50	4.00	2.00	2.75	3.00	2.00	1.50	0.75	2.25	4.25	5.50	6.50	5.75	5.00	7.75	0.00	1.75	-0.249023	0.086426	0.956055	-1.750000	4.760000	-1.260000	520.00	0.083497	-0.061991	8.00	8.75	4.25	6.50	2.25	5.00	0.25	2.50	1.50	2.00	3.25	2.00	1.50	2.00	1.00	1.50	-0.206055	0.069824	0.962891	-2.030000	-3.570000	0.630000	501.00	-0.133227	-0.097480		
1.60	3.25	1.00	2.50	2.25	1.75	1.75	0.75	1.75	3.75	5.50	6.50	5.75	5.25	8.75	0.25	2.50	-0.243652	0.086914	0.959961	-1.680000	5.250000	-1.330000	497.00	0.114623	-0.061925	8.50	9.00	5.00	6.50	1.50	5.00	0.50	2.25	2.00	1.50	3.25	2.25	1.50	2.00	1.00	1.75	-0.210938	0.070312	0.961914	-2.030000	-3.290000	0.350000	513.00	-0.134453	-0.089705		
1.70	1.50	1.50	2.50	3.00	2.00	1.50	0.75	2.00	4.50	5.50	6.75	6.25	5.50	8.75	0.25	1.75	-0.244141	0.089844	0.955566	-1.680000	5.110000	-1.190000	510.00	0.122687	-0.067607	7.75	8.75	4.00	6.25	2.25	4.50	0.25	2.25	1.75	2.25	3.25	2.00	1.75	2.00	1.00	1.50	-0.212891	0.071289	0.962402	-1.890000	-3.850000	0.420000	492.00	-0.125717	-0.093375		
1.80	3.00	1.50	2.75	2.50	1.75	1.50	0.75	2.25	4.00	6.00	7.50	6.00	5.50	9.25	0.50	2.50	-0.249023	0.084473	0.957031	-1.610000	4.830000	-1.190000	537.00	0.116650	-0.065691	8.00	8.75	4.00	6.25	2.25	4.50	0.25	2.00	1.25	2.00	3.00	2.00	1.25	2.00	0.75	1.50	-0.210449	0.067383	0.958008	-1.750000	-4.410000	0.700000	474.00	-0.141574	-0.092453		
1.90	3.00	1.50	2.25	3.00	2.00	1.75	0.75	2.25	5.00	5.75	7.00	6.00	5.25	8.25	0.00	2.50	-0.240723	0.093262	0.958984	-1.470000	4.480000	-1.120000	532.00	0.108521	-0.063462	8.25	8.50	3.75	6.25	2.25	4.00	0.25	1.75	1.75	1.75	3.25	2.00	1.50	2.00	0.75	1.50	-0.211426	0.072754	0.963867	-1.820000	-4.270000	0.490000	471.00	-0.135520	-0.085795		
2.00	1.75	1.75	2.75	2.75	2.00	1.75	1.00	2.50	4.25	5.50	7.00	6.00	5.75	8.75	0.00	2.75	-0.247559	0.089355	0.956055	-1.330000	4.830000	-1.120000	529.00	0.115360	-0.073738	8.50	9.00	4.00	6.50	2.25	3.50	0.25	1.75	1.50	1.75	3.00	2.00	1.25	1.50	0.75	1.75	-0.212891	0.069336	0.964844	-1.750000	-3.990000	0.420000	468.00	-0.149659	-0.086688		
